ano_comp;uf;adm_des;ibge_subsetor;saldo_mov
2009;33;2;16;-296529
2009;11;2;3;-518
2009;22;2;10;-742
2009;52;1;20;23998
2009;15;2;15;-44418
2009;26;1;7;1998
2009;35;1;20;214362
2009;14;2;23;-471
2009;17;2;4;-80
2009;31;2;22;-33318
2009;31;1;25;277520
2009;25;2;18;-293
2009;23;2;15;-44590
2009;29;1;21;72680
2009;28;2;13;-4541
2009;31;2;4;-17048
2009;17;2;22;-1061
2009;13;1;9;1290
2009;22;1;9;211
2009;25;2;12;-3128
2009;13;2;17;-6705
2009;26;2;2;-6417
2009;27;1;23;2105
2009;17;2;1;-396
2009;51;2;16;-69025
2009;52;2;23;-10564
2009;22;2;17;-3255
2009;14;1;20;330
2009;35;2;23;-89550
2009;32;1;19;35625
2009;21;1;22;2848
2009;26;2;12;-576
2009;50;2;22;-3744
2009;11;1;17;6250
2009;16;2;24;-8
2009;53;2;15;-34308
2009;33;2;22;-38935
2009;15;2;21;-26012
2009;28;2;5;-81
2009;43;1;11;16650
2009;26;2;18;-1058
2009;31;2;16;-328335
2009;51;2;4;-1079
2009;28;1;8;416
2009;41;1;21;142523
2009;50;2;1;-654
2009;32;2;6;-472
2009;51;1;25;74180
2009;21;1;1;466
2009;25;2;2;-1524
2009;33;2;1;-2141
2009;11;2;9;-765
2009;43;2;7;-21585
2009;17;2;3;-212
2009;27;2;11;-344
2009;12;1;21;1998
2009;11;1;25;5921
2009;52;1;11;13079
2009;28;1;6;125
2009;51;2;9;-1786
2009;11;2;4;-139
2009;35;1;11;119314
2009;32;2;8;-1895
2009;52;2;7;-3797
2009;14;1;2;213
2009;32;1;5;519
2009;27;1;7;209
2009;50;1;10;1508
2009;13;1;16;28596
2009;21;2;10;-1948
2009;33;2;14;-6106
2009;21;1;14;1324
2009;33;1;10;17009
2009;16;2;15;-2744
2009;26;2;20;-10745
2009;35;2;7;-35665
2009;53;2;24;-580
2009;51;1;17;12258
2009;22;1;16;16670
2009;50;2;14;-523
2009;28;2;19;-6611
2009;31;1;17;58898
2009;14;1;18;56
2009;50;2;3;-2446
2009;21;1;3;1437
2009;33;2;3;-16146
2009;11;2;16;-28925
2009;17;1;10;213
2009;25;2;20;-2281
2009;22;2;25;-3778
2009;42;1;21;121076
2009;32;1;13;15638
2009;17;2;14;-646
2009;13;2;25;-1431
2009;43;2;23;-18583
2009;23;2;24;-661
2009;22;1;4;110
2009;31;2;9;-10441
2009;13;1;4;4871
2009;15;2;24;-193
2009;27;2;18;-157
2009;31;2;14;-4708
2009;31;1;10;27859
2009;52;1;18;1839
2009;24;1;13;10808
2009;35;1;12;45538
2009;13;1;22;2147
2009;35;1;18;25755
2009;17;2;9;-268
2009;52;1;12;827
2009;51;2;3;-3095
2009;16;2;21;-3392
2009;22;1;22;1857
2009;27;2;12;-13
2009;12;1;15;6498
2009;17;1;17;3158
2009;13;1;1;160
2009;25;1;23;3350
2009;22;1;1;322
2009;43;1;20;41412
2009;41;1;24;5539
2009;50;2;9;-1212
2009;42;1;15;73880
2009;21;1;9;370
2009;33;2;9;-5538
2009;11;2;1;-414
2009;24;1;5;42
2009;14;1;11;11
2009;29;1;24;1712
2009;31;2;3;-49438
2009;35;1;2;35756
2009;21;2;17;-6199
2009;51;2;14;-1149
2009;50;1;17;5532
2009;52;1;2;6689
2009;11;2;22;-1709
2009;14;2;7;-313
2009;51;1;10;2493
2009;24;2;8;-720
2009;26;1;23;7464
2009;27;2;2;-441
2009;33;1;17;45898
2009;21;2;22;-2138
2009;50;1;22;4873
2009;26;1;12;384
2009;11;2;17;-5859
2009;53;1;15;40475
2009;16;1;24;5
2009;33;1;22;43421
2009;15;1;21;28734
2009;28;1;5;84
2009;43;2;11;-15565
2009;26;1;18;968
2009;31;1;16;356379
2009;28;2;8;-488
2009;51;1;4;1170
2009;41;2;21;-133196
2009;32;1;6;452
2009;51;2;25;-74493
2009;50;1;1;448
2009;21;2;1;-345
2009;25;1;2;1638
2009;33;1;1;2832
2009;11;1;9;817
2009;43;1;7;22613
2009;25;1;18;349
2009;31;2;25;-284982
2009;23;1;15;54406
2009;29;2;21;-66553
2009;31;1;4;16262
2009;28;1;13;5456
2009;13;2;9;-1663
2009;17;1;22;1277
2009;22;2;9;-282
2009;25;1;12;2263
2009;17;1;1;391
2009;13;1;17;7734
2009;26;1;2;6681
2009;27;2;23;-1873
2009;22;1;17;4115
2009;51;1;16;71898
2009;52;1;23;10729
2009;14;2;20;-274
2009;35;1;23;105055
2009;32;2;19;-33362
2009;41;2;15;-99032
2009;43;2;12;-67713
2009;31;1;1;11973
2009;12;2;24;-348
2009;43;2;18;-5360
2009;24;2;19;-14966
2009;26;1;11;8651
2009;22;2;14;-304
2009;50;1;16;44545
2009;13;1;10;3785
2009;21;2;16;-25727
2009;27;1;20;2697
2009;17;2;25;-8924
2009;33;1;16;309742
2009;13;2;14;-1186
2009;53;1;21;63990
2009;11;1;3;622
2009;22;1;10;775
2009;52;2;20;-21771
2009;15;1;15;44378
2009;26;2;7;-1523
2009;35;2;20;-195467
2009;14;1;23;510
2009;17;1;4;63
2009;31;1;22;40418
2009;11;1;14;535
2009;25;1;11;3223
2009;13;2;3;-2884
2009;11;2;10;-263
2009;22;2;3;-421
2009;51;1;22;4634
2009;24;1;6;117
2009;33;1;4;9029
2009;23;1;21;49342
2009;50;1;4;1243
2009;25;2;7;-783
2009;43;2;2;-7734
2009;21;2;4;-411
2009;29;2;15;-85652
2009;17;1;16;13179
2009;33;2;25;-11363
2009;42;2;24;-13226
2009;51;1;1;1092
2009;50;2;25;-41698
2009;21;1;25;19929
2009;50;1;9;1699
2009;21;2;9;-353
2009;42;2;15;-70561
2009;33;1;9;5357
2009;11;1;1;443
2009;24;2;5;-75
2009;14;2;11;-10
2009;29;2;24;-1729
2009;31;1;3;46344
2009;35;2;2;-36962
2009;21;1;17;7363
2009;50;2;17;-5143
2009;52;2;2;-6506
2009;51;1;14;982
2009;51;2;10;-2273
2009;11;1;22;1857
2009;14;1;7;309
2009;26;2;23;-6568
